,age,income,friends,attempt_suicide,Virgin,Depressed,Social_Fear,gender,sexuallity,bodyweight
120,23,24999.5,4.0,0,1,1,0,1,2,1
121,20,5000.5,5.0,0,1,1,1,1,1,2
122,20,5000.5,3.0,1,1,1,1,1,1,4
123,21,0,0.0,0,1,1,1,1,1,2
124,17,0,2.0,0,1,1,0,1,2,2
125,28,14999.5,4.0,0,1,1,1,1,1,1
126,20,0,3.0,0,1,1,0,1,2,3
127,22,5000.5,2.0,0,1,0,1,1,2,1
128,70,187499.0,5.0,0,0,1,0,1,1,4
129,28,24999.5,0.0,0,1,0,1,1,1,2
130,30,62499.5,12.0,0,0,1,1,1,1,2
131,24,5000.5,3.0,1,1,0,1,1,1,1
132,26,162499.5,20.0,0,0,0,1,1,1,1
133,21,5000.5,6.0,0,1,1,0,1,1,1
134,34,14999.5,5.0,0,0,1,0,1,1,1
135,22,0,6.0,0,1,1,1,1,1,2
136,29,44999.5,0.0,0,1,1,0,1,1,1
137,29,34999.5,18.0,0,1,0,0,1,1,3
138,24,5000.5,1.0,0,1,0,0,1,1,1
139,30,200000,1.0,0,1,0,1,1,1,3
140,19,14999.5,4.0,0,1,1,1,1,1,3
141,28,62499.5,2.0,0,1,0,1,1,1,2
142,19,5000.5,1.0,0,1,1,1,2,2,1
143,19,14999.5,0.0,1,1,1,0,1,1,3
144,25,44999.5,17.0,0,0,0,0,2,1,2
145,21,0,10.0,1,0,1,1,2,2,1
146,35,87499.5,3.0,0,0,1,1,1,1,3
147,21,0,5.0,0,1,0,1,2,1,1
148,24,0,5.0,0,1,1,1,1,1,1
149,18,5000.5,5.0,0,1,1,0,1,1,1
150,12,187499.0,15.0,0,0,0,0,2,2,4
151,23,5000.5,3.0,0,0,1,1,2,1,1
152,29,137499.5,6.0,1,1,1,1,1,1,3
153,24,62499.5,20.0,0,0,0,1,1,1,1
154,30,5000.5,1.0,0,1,1,1,1,1,2
155,21,0,3.0,0,1,1,1,1,1,1
156,18,0,3.0,1,1,1,1,1,1,2
157,22,0,2.0,0,1,1,1,1,1,3
158,22,24999.5,3.0,0,1,0,1,1,1,3
159,26,34999.5,1.0,0,1,1,1,1,1,3
160,20,0,1.0,1,1,1,1,1,1,3
161,17,0,6.0,0,1,0,0,1,1,1
162,20,14999.5,1.0,0,1,0,1,1,1,2
163,28,87499.5,10.0,0,1,0,0,1,1,1
164,36,62499.5,80.0,0,0,1,0,1,1,1
165,26,44999.5,2.0,0,1,1,1,2,1,4
166,28,0,0.0,0,1,1,1,1,1,3
167,21,87499.5,1.0,0,1,1,0,1,1,1
168,21,0,5.0,0,1,0,1,1,1,1
169,23,14999.5,1.0,0,1,1,1,1,1,1
170,23,0,0.0,0,1,1,1,1,1,2
171,23,24999.5,10.0,0,0,1,1,1,2,1
172,28,14999.5,5.0,0,0,1,1,1,1,1
173,31,5000.5,0.0,0,1,1,0,1,1,1
174,19,5000.5,1.0,0,1,1,1,1,1,1
175,15,0,0.0,0,1,0,1,2,3,1
176,26,5000.5,3.0,0,1,1,1,1,1,3
177,28,62499.5,10.0,0,1,1,1,1,1,3
178,23,5000.5,10.0,0,1,1,1,1,1,3
179,26,34999.5,0.0,1,1,1,0,1,3,3
180,27,34999.5,15.0,0,1,0,0,1,1,1
181,26,0,10.0,0,1,1,0,1,1,1
182,35,34999.5,2.0,0,1,1,1,1,1,1
183,31,14999.5,3.0,0,1,0,0,1,1,4
184,57,14999.5,0.0,0,0,0,0,1,1,1
185,25,0,0.0,1,0,1,1,1,1,1
186,25,0,0.0,0,1,1,1,1,1,1
187,25,0,6.0,0,1,1,1,1,3,3
188,22,5000.5,0.0,1,0,1,1,2,2,1
189,23,0,0.0,0,1,1,1,2,1,2
190,21,137499.5,16.0,0,0,0,0,2,1,1
191,33,0,1.0,1,1,1,1,1,1,1
192,18,62499.5,5.0,0,1,1,0,1,1,1
193,27,0,1.0,0,1,1,1,1,1,2
194,21,14999.5,1.0,0,1,1,1,1,1,3
195,20,0,0.0,0,0,0,0,1,1,1
196,23,5000.5,0.0,0,1,0,0,1,1,1
197,29,44999.5,0.0,0,1,0,0,1,1,4
198,23,5000.5,2.0,0,1,1,1,1,1,1
199,26,5000.5,0.0,1,1,1,0,2,1,3
200,22,14999.5,0.0,0,1,1,1,1,1,1
201,23,0,3.0,0,1,1,1,1,1,2
202,27,0,6.0,1,1,1,1,1,1,3
203,24,0,0.0,1,1,1,1,1,1,1
204,28,0,3.0,0,0,1,1,1,1,1
205,19,14999.5,10.0,1,1,1,0,1,1,3
206,24,5000.5,4.0,0,0,1,1,1,1,2
207,25,137499.5,30.0,0,0,0,0,1,1,1
208,18,5000.5,0.0,0,1,0,0,1,1,1
209,27,0,13.0,0,0,1,0,1,1,2
210,35,5000.5,3.0,0,0,1,1,2,3,4
211,19,0,6.0,0,1,0,1,1,1,1
212,21,5000.5,7.0,1,0,1,1,2,2,1
213,30,5000.5,0.0,0,1,1,0,2,1,3
214,18,34999.5,0.0,1,1,1,1,1,1,1
215,27,24999.5,10.0,0,1,0,1,2,2,1
216,35,14999.5,4.0,0,1,1,1,1,1,1
